"Y" "N"
14 27
25 39
45 106
3 10
1 1
16 33
38 97
4 12
10 24
1 3
15 23
14 36
16 38
25 48
17 29
25 39
210 396
14 30
104 185
82 224
32 63
116 220
48 105
41 92
251 374
56 117
7 13
58 256
26 37
180 322
193 578
22 34
9 18
7 14
31 54
14 42
20 45
19 45
123 208
21 33
53 98
33 80
707 1440
18 37
9 19
65 105
263 537
272 586
138 292
108 219
9 16
2 5
197 335
5 7
0 1
48 94
20 32
9 23
45 99
26 47
1 1
1 2
24 56
28 54
110 216
1 5
38 65
133 285
54 115
153 282
10 15
5 6
6 14
82 153
9 19
64 141
62 63
39 102
19 37
7 10
0 1
22 55
56 88
49 91
15 28
49 112
20 35
13 27
137 296
22 61
58 118
59 119
7 11
1 2
2 9
16 38
18 44
9 30
78 80
2 5
85 143
96 151
16 24
35 69
86 146
133 261
53 107
133 264
18 50
8 13
6 20
12 26
1 1
9 9
1 1
6 16
0 3
23 45
2 3
14 23
52 97
7 13
25 44
52 111
48 104
23 43
11 25
13 22
8 16
1 1
71 159
23 35
34 58
4 5
57 110
109 215
64 136
40 85
55 114
0 1
37 67
12 18
25 39
13 19
40 70
63 84
119 249
33 57
93 165
4 11
30 45
3 12
27 61
22 46
15 35
75 141
4 4
7 9
18 31
18 33
30 74
32 52
38 57
4 10
206 394
65 131
1 5
1 2
32 71
6 17
6 9
16 50
11 20
2 2
8 8
58 116
56 134
390 776
41 76
219 453
34 59
1 2
29 51
9 19
12 38
205 435
29 67
28 39
51 92
7 11
13 22
28 64
10 23
149 290
62 133
104 241
186 327
99 177
90 101
16 26
2 3
9 26
1 1
0 1
157 245
6 10
64 135
0 23
0 23
22 46
53 133
29 59
29 51
5 9
74 144
20 36
50 98
121 246
7 23
43 83
16 30
1 1
35 81
65 111
8 21
2 3
7 8
2 2
2 4
3 6
0 1
64 140
2 3
3 6
131 211
4 11
104 176
5 6
23 50
1 3
4 6
6 8
6 12
3 5
4 11
2 3
2 4
0 2
59 101
34 79
9 16
5 10
0 3
3 3
0 2
118 204
0 1
3 8
35 63
6 11
4 33
7 15
3 9
2 5
289 512
22 39
66 130
95 198
57 90
69 124
0 2
189 338
39 84
45 86
47 76
29 52
20 35
21 43
4 6
18 43
24 38
13 24
10 21
11 16
36 73
6 16
46 77
33 57
12 22
6 13
18 37
13 44
26 48
2 4
6 19
1 3
16 27
23 24
18 31
62 148
12 22
6 6
6 6
6 6
0 2
150 150
1 2
1 3
0 4
96 170
73 73
10 17
1 5
10 20
9 21
33 107
9 14
0 1
3 7
5 10
12 24
0 1
35 55
1 3
1 2
7 8
5 14
3 10
4 6
38 81
121 294
43 92
36 82
30 48
15 31
26 50
6 11
13 28
13 23
53 78
22 38
5 16
76 174
11 17
39 84
32 72
59 129
19 37
19 35
7 15
116 221
160 289
176 342
12 36
0 7
50 103
138 329
18 32
192 425
43 106
2 3
13 29
29 66
80 171
254 493
79 154
53 127
43 90
41 141
48 103
10 142
66 180
2 4
12 127
2 15
128 223
57 125
114 234
54 123
2 15
7 12
3 6
10 13
515 949
468 546
6 14
39 80
2 3
20 34
38 69
106 212
161 336
20 51
43 74
81 150
3 6
1 1
52 93
